,City_name,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Caborca,30.5838,-111.101,85.89,8,5,11.74,MX,1619300631
1,Iqaluit,63.7506,-68.5145,32.0,86,75,3.44,CA,1619300793
2,Busselton,-33.65,115.3333,51.01,90,0,1.88,AU,1619300634
3,Kibondo,-3.5864,30.7203,60.53,95,100,2.08,TZ,1619300794
4,Amahai,-3.3333,128.9167,80.01,93,100,3.0,ID,1619300637
5,Cidreira,-30.1811,-50.2056,70.84,83,57,10.87,BR,1619300659
6,Nikolskoye,59.7035,30.7861,37.99,70,20,6.71,RU,1619300872
7,Kapaa,22.0752,-159.319,79.0,65,20,13.8,US,1619300656
8,Olean,42.0776,-78.4297,59.0,33,1,4.61,US,1619300873
9,East London,-33.0153,27.9116,65.91,83,63,5.17,ZA,1619300873
10,Bluff,-46.6,168.3333,46.99,91,98,8.01,NZ,1619300283
11,Barrow,71.2906,-156.7887,28.4,86,1,6.02,US,1619300298
12,Cape Town,-33.9258,18.4232,62.01,88,0,6.91,ZA,1619300683
13,Rikitea,-23.1203,-134.9692,78.66,74,100,14.85,PF,1619300876
14,Ushuaia,-54.8,-68.3,51.8,62,75,5.75,AR,1619300877
15,Punta Arenas,-53.15,-70.9167,51.8,58,0,12.66,CL,1619300742
16,Hobart,-42.8794,147.3294,50.0,71,40,9.22,AU,1619300654
17,Kobryn,52.2138,24.3564,35.91,77,95,6.44,BY,1619300877
18,Yerofey Pavlovich,53.9667,121.9667,33.78,60,77,1.52,RU,1619300878
19,Kedrovyy,56.1667,91.8167,30.2,93,75,4.47,RU,1619300878
20,Thompson,55.7435,-97.8558,26.6,54,75,8.05,CA,1619300840
21,Santa Luzia,-19.7697,-43.8514,78.8,41,0,3.44,BR,1619300879
22,Chai Nat,15.1167,100.1,82.99,99,100,7.99,TH,1619300879
23,São Filipe,14.8961,-24.4956,72.3,75,53,9.84,CV,1619300879
24,Mataura,-46.1927,168.8643,46.99,91,90,8.01,NZ,1619300299
25,Mar del Plata,-38.0023,-57.5575,62.6,59,20,8.05,AR,1619300880
26,Bugama,4.7341,6.8635,78.53,83,98,3.98,NG,1619300880
27,Batagay,67.6333,134.6333,19.11,93,100,3.67,RU,1619300881
28,Colonia Carlos Antonio López,-26.4,-54.7667,63.19,99,100,3.47,PY,1619300881
29,Port Augusta,-32.5,137.7667,48.2,93,0,3.44,AU,1619300883
30,Sørland,67.667,12.6934,36.37,68,80,23.38,NO,1619300684
31,Port Alfred,-33.5906,26.891,66.4,86,69,8.01,ZA,1619300371
32,Lisala,2.15,21.5167,73.9,88,100,2.1,CD,1619300884
33,Ribeira Grande,38.5167,-28.7,59.86,73,95,22.82,PT,1619300884
34,Grindavik,63.8424,-22.4338,44.6,100,90,21.85,IS,1619300884
35,Antigonish,45.6169,-61.9986,46.99,62,87,5.01,CA,1619300712
36,Kismayo,-0.3582,42.5454,81.61,74,42,10.18,SO,1619300885
37,Castro,-24.7911,-50.0119,62.15,71,82,0.78,BR,1619300772
38,Saint-Joseph,-21.3667,55.6167,77.0,83,90,19.57,RE,1619300886
39,Sitka,57.0531,-135.33,60.8,23,20,4.61,US,1619300886
40,Amuntai,-2.4177,115.2494,72.59,88,37,2.28,ID,1619300888
41,Departamento de Maldonado,-34.6667,-54.9167,66.2,82,75,19.57,UY,1619300888
42,Tuktoyaktuk,69.4541,-133.0374,24.8,80,40,8.05,CA,1619300889
43,Qaanaaq,77.484,-69.3632,27.39,70,93,7.25,GL,1619300889
44,Sri Aman,1.2376,111.4621,77.0,88,82,2.3,MY,1619300889
45,Codrington,-38.2667,141.9667,53.19,86,92,4.97,AU,1619300685
46,Yellowknife,62.456,-114.3525,19.4,49,75,11.5,CA,1619300890
47,Vila Franca do Campo,37.7167,-25.4333,59.0,82,75,12.66,PT,1619300890
48,Būlaevo,54.9056,70.4439,42.71,45,100,13.49,KZ,1619300891
49,Albany,42.6001,-73.9662,68.0,27,75,8.05,US,1619300744
50,Serebryanyy Bor,56.8,124.8,27.72,94,95,4.74,RU,1619300891
51,Verāval,20.9,70.3667,80.74,77,100,14.85,IN,1619300892
52,Nouakchott,18.0858,-15.9785,66.2,88,38,17.27,MR,1619300892
53,Saint Paul Harbor,57.79,-152.4072,44.6,81,90,5.75,US,1619300675
54,Lavrentiya,65.5833,-171.0,32.07,87,87,1.97,RU,1619300646
55,Chui,-33.6971,-53.4616,66.24,90,100,5.12,UY,1619300893
56,Tula,54.2044,37.6111,34.16,82,77,14.54,RU,1619300893
57,Ambon City,-3.6954,128.1814,75.2,94,40,9.22,ID,1619300894
58,Santa Maria,-29.6842,-53.8069,64.4,100,90,4.61,BR,1619300894
59,Souillac,-20.5167,57.5167,78.8,94,75,18.41,MU,1619300653
60,Lakatoro,-16.0999,167.4164,83.12,77,74,13.38,VU,1619300896
61,Kropotkin,45.4375,40.5756,46.76,73,96,4.68,RU,1619300896
62,Atuona,-9.8,-139.0333,80.78,72,4,16.58,PF,1619300673
63,Mayumba,-3.432,10.6554,78.89,87,92,4.79,GA,1619300897
64,Mauá,-23.6678,-46.4614,69.01,63,26,1.01,BR,1619300897
65,Lebu,-37.6167,-73.65,55.17,77,0,15.12,CL,1619300696
66,Tyup,42.7276,78.3648,37.62,62,100,4.25,KG,1619300898
67,Eyl,7.9803,49.8164,82.72,76,64,6.62,SO,1619300898
68,Chapais,49.7834,-74.8492,48.2,43,75,8.05,CA,1619300901
69,Izhma,65.0083,53.9113,44.82,81,99,8.32,RU,1619300901
70,Shalakusha,62.2247,40.2539,45.05,82,13,7.92,RU,1619300902
71,Vaini,-21.2,-175.2,82.4,78,40,4.61,TO,1619300902
72,Bambous Virieux,-20.3428,57.7575,79.0,94,75,18.41,MU,1619300644
73,Kavieng,-2.5744,150.7967,82.31,77,66,9.13,PG,1619300903
74,Petropavlovsk-Kamchatskiy,53.0452,158.6483,35.6,100,90,4.47,RU,1619300738
75,Saint-Philippe,-21.3585,55.7679,77.0,83,90,19.57,RE,1619300672
76,Danville,36.586,-79.395,54.0,94,90,5.75,US,1619300860
77,Picos,-7.0769,-41.4669,80.04,68,99,2.68,BR,1619300904
78,Camacha,33.0833,-16.3333,62.6,77,20,14.97,PT,1619300728
79,Itarema,-2.9248,-39.9167,78.75,85,99,11.9,BR,1619300906
80,Chokurdakh,70.6333,147.9167,1.58,84,5,5.03,RU,1619300907
81,Meybod,32.2501,54.0166,69.82,44,100,12.5,IR,1619300907
82,Clyde River,70.4692,-68.5914,19.4,93,75,13.8,CA,1619300908
83,Hermanus,-34.4187,19.2345,62.01,81,89,5.99,ZA,1619300660
84,Santoña,43.4439,-3.4576,61.0,88,99,9.37,ES,1619300908
85,Ponta do Sol,32.6667,-17.1,57.0,84,29,3.0,PT,1619300909
86,Manbij,36.5281,37.9549,64.4,36,0,5.75,SY,1619300909
87,Kirsanov,52.6549,42.7224,35.83,81,62,17.98,RU,1619300909
88,Grão Mogol,-16.5594,-42.8897,70.77,53,1,2.64,BR,1619300910
89,Los Llanos de Aridane,28.6585,-17.9182,69.8,46,40,17.27,ES,1619300910
90,Damietta,31.4165,31.8133,64.4,94,0,9.22,EG,1619300910
91,Klaksvík,62.2266,-6.589,42.8,87,20,1.14,FO,1619300911
92,Leningradskiy,69.3833,178.4167,28.58,83,100,4.92,RU,1619300911
93,Salalah,17.0151,54.0924,81.66,73,68,5.86,OM,1619300912
94,Toora-Khem,52.4675,96.11,29.57,85,100,3.33,RU,1619300912
95,Iracoubo,5.4802,-53.2011,77.88,87,100,12.28,GF,1619300912
96,Liaozhong,41.5061,122.7242,46.0,60,0,6.71,CN,1619300913
97,Yangi Marg`ilon,40.4272,71.7189,59.0,47,29,4.61,UZ,1619300913
98,Portland,45.5234,-122.6762,52.0,82,90,8.05,US,1619300722
